cleaned_comment,slang_replaced_comment,tekonized_comment,no_stopwords_comment,stemmed_comment
wanita yang kemarin itu ngapain aja yanyesel gw gk ikut ngejarah rumah manusia yang udh bikin negara gw ancur ancuran ,wanita yang kemarin itu apa saja yanyesel aku tidak ikut ngejarah rumah manusia yang sudah bikin negara aku hancur ancuran,"['wanita', 'yang', 'kemarin', 'itu', 'apa', 'saja', 'yanyesel', 'aku', 'tidak', 'ikut', 'ngejarah', 'rumah', 'manusia', 'yang', 'sudah', 'bikin', 'negara', 'aku', 'hancur', 'ancuran']","['wanita', 'kemarin', 'apa', 'yanyesel', 'aku', 'tidak', 'ikut', 'ngejarah', 'rumah', 'manusia', 'bikin', 'negara', 'aku', 'hancur', 'ancuran']","['wanita', 'kemarin', 'apa', 'yanyesel', 'aku', 'tidak', 'ikut', 'ngejarah', 'rumah', 'manusia', 'bikin', 'negara', 'aku', 'hancur', 'ancuran']"
ga sia sia kdm ngeyel di sosmed kemaren,tidak sia sia kdm ngeyel di sosmed kemarin,"['tidak', 'sia', 'sia', 'kdm', 'ngeyel', 'di', 'sosmed', 'kemarin']","['tidak', 'sia', 'sia', 'kdm', 'ngeyel', 'sosmed', 'kemarin']","['tidak', 'sia', 'sia', 'kdm', 'ngeyel', 'sosmed', 'kemarin']"
percaya diri dengan hadirnya seorang ibu qolbu ratu adil sudah terpaket kls brat style,percaya diri dengan hadirnya seorang ibu qolbu ratu adil sudah terpaket kelas brat style,"['percaya', 'diri', 'dengan', 'hadirnya', 'seorang', 'ibu', 'qolbu', 'ratu', 'adil', 'sudah', 'terpaket', 'kelas', 'brat', 'style']","['percaya', 'diri', 'hadirnya', 'seorang', 'ibu', 'qolbu', 'ratu', 'adil', 'terpaket', 'kelas', 'brat', 'style']","['percaya', 'diri', 'hadir', 'orang', 'ibu', 'qolbu', 'ratu', 'adil', 'paket', 'kelas', 'brat', 'style']"
kemarin aja nyalahin kdm dan bilang kdm di kibulin tau tau nya ,kemarin saja nyalahin kdm dan bilang kdm di kibulin tau tau nya,"['kemarin', 'saja', 'nyalahin', 'kdm', 'dan', 'bilang', 'kdm', 'di', 'kibulin', 'tau', 'tau', 'nya']","['kemarin', 'nyalahin', 'kdm', 'bilang', 'kdm', 'kibulin', 'tau', 'tau', 'nya']","['kemarin', 'nyalahin', 'kdm', 'bilang', 'kdm', 'kibulin', 'tau', 'tau', 'nya']"
kalo bi saja pembohong gimana bank bank umumnya pecat yg bohong ,kalau bi saja pembohong gimana bank bank umumnya pecat yang bohong,"['kalau', 'bi', 'saja', 'pembohong', 'gimana', 'bank', 'bank', 'umumnya', 'pecat', 'yang', 'bohong']","['kalau', 'bi', 'pembohong', 'gimana', 'bank', 'bank', 'umumnya', 'pecat', 'bohong']","['kalau', 'bi', 'bohong', 'gimana', 'bank', 'bank', 'umum', 'pecat', 'bohong']"
usut dan pecat pak ,usut dan pecat bapak,"['usut', 'dan', 'pecat', 'bapak']","['usut', 'pecat', 'bapak']","['usut', 'pecat', 'bapak']"
periksa mendagri dan gubernur bank sentral,periksa mendagri dan gubernur bank sentral,"['periksa', 'mendagri', 'dan', 'gubernur', 'bank', 'sentral']","['periksa', 'mendagri', 'gubernur', 'bank', 'sentral']","['periksa', 'mendagri', 'gubernur', 'bank', 'sentral']"
hahaha si purbaya kena dikadalin anak buahnya bi nuduh aja ke orang dedi mulyadi katanya dibohongi anak buahnya yg bener pur gawe teh ,hahaha si purbaya kena dikadalin anak buahnya bi nuduh saja ke orang dedi mulyadi katanya dibohongi anak buahnya yang benar pur gawe teh,"['hahaha', 'si', 'purbaya', 'kena', 'dikadalin', 'anak', 'buahnya', 'bi', 'nuduh', 'saja', 'ke', 'orang', 'dedi', 'mulyadi', 'katanya', 'dibohongi', 'anak', 'buahnya', 'yang', 'benar', 'pur', 'gawe', 'teh']","['hahaha', 'si', 'purbaya', 'kena', 'dikadalin', 'anak', 'buahnya', 'bi', 'nuduh', 'orang', 'dedi', 'mulyadi', 'katanya', 'dibohongi', 'anak', 'buahnya', 'benar', 'pur', 'gawe', 'teh']","['hahaha', 'si', 'purbaya', 'kena', 'dikadalin', 'anak', 'buah', 'bi', 'nuduh', 'orang', 'dedi', 'mulyadi', 'kata', 'bohong', 'anak', 'buah', 'benar', 'pur', 'gawe', 'teh']"
g perlu malu kl bobrok selama ini harusnya ini jd momentum untuk memperbaikinya,tidak perlu malu kalau bobrok selama ini harusnya ini jd momentum untuk memperbaikinya,"['tidak', 'perlu', 'malu', 'kalau', 'bobrok', 'selama', 'ini', 'harusnya', 'ini', 'jd', 'momentum', 'untuk', 'memperbaikinya']","['tidak', 'perlu', 'malu', 'kalau', 'bobrok', 'selama', 'harusnya', 'jd', 'momentum', 'memperbaikinya']","['tidak', 'perlu', 'malu', 'kalau', 'bobrok', 'lama', 'harus', 'jd', 'momentum', 'baik']"
semua pada panik ,semua pada panik,"['semua', 'pada', 'panik']","['semua', 'panik']","['semua', 'panik']"
kenapa jadi rame ini kan bentuk pengawasan secara transparan ya sampaikan saja perkembanganya,kenapa jadi rame ini kan bentuk pengawasan secara transparan ya sampaikan saja perkembanganya,"['kenapa', 'jadi', 'rame', 'ini', 'kan', 'bentuk', 'pengawasan', 'secara', 'transparan', 'ya', 'sampaikan', 'saja', 'perkembanganya']","['jadi', 'rame', 'kan', 'bentuk', 'pengawasan', 'transparan', 'sampaikan', 'perkembanganya']","['jadi', 'rame', 'kan', 'bentuk', 'awas', 'transparan', 'sampai', 'perkembanganya']"
lagi lagi manipulasi,lagi lagi manipulasi,"['lagi', 'lagi', 'manipulasi']",['manipulasi'],['manipulasi']
mau bagaimanapun memang harus di gebrak dulu baru pada bergerak kepala daerahkan jadi ketahuan nanti akar masalahnya di mana mantap pak purbaya,mau bagaimanapun memang harus di gebrak dulu baru pada bergerak kepala daerahkan jadi ketahuan nanti akar masalahnya di mana mantap bapak purbaya,"['mau', 'bagaimanapun', 'memang', 'harus', 'di', 'gebrak', 'dulu', 'baru', 'pada', 'bergerak', 'kepala', 'daerahkan', 'jadi', 'ketahuan', 'nanti', 'akar', 'masalahnya', 'di', 'mana', 'mantap', 'bapak', 'purbaya']","['mau', 'memang', 'gebrak', 'dulu', 'baru', 'bergerak', 'kepala', 'daerahkan', 'jadi', 'ketahuan', 'akar', 'masalahnya', 'mana', 'mantap', 'bapak', 'purbaya']","['mau', 'memang', 'gebrak', 'dulu', 'baru', 'gerak', 'kepala', 'daerah', 'jadi', 'tahu', 'akar', 'masalah', 'mana', 'mantap', 'bapak', 'purbaya']"
ayo pak kroscek terus rakyatmu siap membantu pak ,ayo bapak kroscek terus rakyatmu siap membantu bapak,"['ayo', 'bapak', 'kroscek', 'terus', 'rakyatmu', 'siap', 'membantu', 'bapak']","['ayo', 'bapak', 'kroscek', 'terus', 'rakyatmu', 'siap', 'membantu', 'bapak']","['ayo', 'bapak', 'kroscek', 'terus', 'rakyat', 'siap', 'bantu', 'bapak']"
gas terus pak satu persatu mulai terbuka,gas terus bapak satu persatu mulai terbuka,"['gas', 'terus', 'bapak', 'satu', 'persatu', 'mulai', 'terbuka']","['gas', 'terus', 'bapak', 'satu', 'persatu', 'mulai', 'terbuka']","['gas', 'terus', 'bapak', 'satu', 'satu', 'mulai', 'buka']"
artinya harus ada tindakan lebih lanjut tentang perbedan data,artinya harus ada tindakan lebih lanjut tentang perbedan data,"['artinya', 'harus', 'ada', 'tindakan', 'lebih', 'lanjut', 'tentang', 'perbedan', 'data']","['artinya', 'tindakan', 'lebih', 'lanjut', 'perbedan', 'data']","['arti', 'tindak', 'lebih', 'lanjut', 'bedan', 'data']"
siapa coba itu yg manipulatif laporan,siapa coba itu yang manipulatif laporan,"['siapa', 'coba', 'itu', 'yang', 'manipulatif', 'laporan']","['siapa', 'coba', 'manipulatif', 'laporan']","['siapa', 'coba', 'manipulatif', 'lapor']"
mulai terkuak nih uang ghaib,mulai terkuak ini uang ghaib,"['mulai', 'terkuak', 'ini', 'uang', 'ghaib']","['mulai', 'terkuak', 'uang', 'ghaib']","['mulai', 'kuak', 'uang', 'ghaib']"
these coments were hiden because they may be misleading ofensive or spam people can stil tap to view them,these coments were hiden karena they may be misleading ofensive atau spam orang dapat stil tap ke view mereka,"['these', 'coments', 'were', 'hiden', 'karena', 'they', 'may', 'be', 'misleading', 'ofensive', 'atau', 'spam', 'orang', 'dapat', 'stil', 'tap', 'ke', 'view', 'mereka']","['these', 'coments', 'were', 'hiden', 'they', 'may', 'be', 'misleading', 'ofensive', 'spam', 'orang', 'stil', 'tap', 'view']","['these', 'coments', 'were', 'hiden', 'they', 'may', 'be', 'misleading', 'ofensive', 'spam', 'orang', 'stil', 'tap', 'view']"
view hiden coments,view hiden coments,"['view', 'hiden', 'coments']","['view', 'hiden', 'coments']","['view', 'hiden', 'coments']"
kamu kasih makan apa pak anakmu itu,kamu kasih makan apa bapak anakmu itu,"['kamu', 'kasih', 'makan', 'apa', 'bapak', 'anakmu', 'itu']","['kamu', 'kasih', 'makan', 'apa', 'bapak', 'anakmu']","['kamu', 'kasih', 'makan', 'apa', 'bapak', 'anak']"
anaknya berasa jadi timothy,anaknya berasa jadi timothy,"['anaknya', 'berasa', 'jadi', 'timothy']","['anaknya', 'berasa', 'jadi', 'timothy']","['anak', 'asa', 'jadi', 'timothy']"
koq ga dikenain u ite ya,koq tidak dikenain kamu ite ya,"['koq', 'tidak', 'dikenain', 'kamu', 'ite', 'ya']","['koq', 'tidak', 'dikenain', 'kamu', 'ite']","['koq', 'tidak', 'dikenain', 'kamu', 'ite']"
pasti anknya mendengar obrolan bapak ibunya dimeja makan ,pasti anknya mendengar obrolan bapak ibunya dimeja makan,"['pasti', 'anknya', 'mendengar', 'obrolan', 'bapak', 'ibunya', 'dimeja', 'makan']","['anknya', 'mendengar', 'obrolan', 'bapak', 'ibunya', 'dimeja', 'makan']","['anknya', 'dengar', 'obrol', 'bapak', 'ibu', 'meja', 'makan']"
start the conversation,mulai sebuah conversation,"['mulai', 'sebuah', 'conversation']","['mulai', 'sebuah', 'conversation']","['mulai', 'buah', 'conversation']"
sri mulyani udh di copot di puji pas masih menjabat jadi menkeu di hina maksud netizen apasih ngk ngerti gue,sri mulyani sudah di copot di puji pas masih menjabat jadi menkeu di hina maksud netizen apasih tidak ngerti aku,"['sri', 'mulyani', 'sudah', 'di', 'copot', 'di', 'puji', 'pas', 'masih', 'menjabat', 'jadi', 'menkeu', 'di', 'hina', 'maksud', 'netizen', 'apasih', 'tidak', 'ngerti', 'aku']","['sri', 'mulyani', 'copot', 'puji', 'pas', 'menjabat', 'jadi', 'menkeu', 'hina', 'maksud', 'netizen', 'apasih', 'tidak', 'ngerti', 'aku']","['sri', 'mulyani', 'copot', 'puji', 'pas', 'jabat', 'jadi', 'menkeu', 'hina', 'maksud', 'netizen', 'apasih', 'tidak', 'ngerti', 'aku']"
meragukan sarjana teknik apa bisa menkeu,meragukan sarjana teknik apa bisa menkeu,"['meragukan', 'sarjana', 'teknik', 'apa', 'bisa', 'menkeu']","['meragukan', 'sarjana', 'teknik', 'apa', 'menkeu']","['ragu', 'sarjana', 'teknik', 'apa', 'menkeu']"
didoakan semua yang terbaik amin jagajakarta jagaindonesia,didoakan semua yang terbaik amin jagajakarta jagaindonesia,"['didoakan', 'semua', 'yang', 'terbaik', 'amin', 'jagajakarta', 'jagaindonesia']","['didoakan', 'semua', 'terbaik', 'amin', 'jagajakarta', 'jagaindonesia']","['doa', 'semua', 'baik', 'amin', 'jagajakarta', 'jagaindonesia']"
berat sih gantin menkeu srisbnernya levelnya dunia punya cuma klo beritanya isinya majakin rakyat terus bingung juga,berat sih gantin menkeu srisbnernya levelnya dunia punya hanya kalau beritanya isinya majakin rakyat terus bingung juga,"['berat', 'sih', 'gantin', 'menkeu', 'srisbnernya', 'levelnya', 'dunia', 'punya', 'hanya', 'kalau', 'beritanya', 'isinya', 'majakin', 'rakyat', 'terus', 'bingung', 'juga']","['berat', 'sih', 'gantin', 'menkeu', 'srisbnernya', 'levelnya', 'dunia', 'punya', 'kalau', 'beritanya', 'isinya', 'majakin', 'rakyat', 'terus', 'bingung']","['berat', 'sih', 'gantin', 'menkeu', 'srisbnernya', 'level', 'dunia', 'punya', 'kalau', 'berita', 'isi', 'majakin', 'rakyat', 'terus', 'bingung']"
view hiden coments,view hiden coments,"['view', 'hiden', 'coments']","['view', 'hiden', 'coments']","['view', 'hiden', 'coments']"
gak bisa beda mana yg bobot dan yg ga bobot ini knp ya apa disokong dg kekuasan jg kah,tidak bisa beda mana yang bobot dan yang tidak bobot ini kenapa ya apa disokong dengan kekuasan juga kah,"['tidak', 'bisa', 'beda', 'mana', 'yang', 'bobot', 'dan', 'yang', 'tidak', 'bobot', 'ini', 'kenapa', 'ya', 'apa', 'disokong', 'dengan', 'kekuasan', 'juga', 'kah']","['tidak', 'beda', 'mana', 'bobot', 'tidak', 'bobot', 'apa', 'disokong', 'kekuasan']","['tidak', 'beda', 'mana', 'bobot', 'tidak', 'bobot', 'apa', 'sokong', 'kuas']"
presiden yg hrs diganti itu kapolri,presiden yang harus diganti itu kapolri,"['presiden', 'yang', 'harus', 'diganti', 'itu', 'kapolri']","['presiden', 'diganti', 'kapolri']","['presiden', 'ganti', 'kapolri']"
masih ragu ,masih ragu,"['masih', 'ragu']",['ragu'],['ragu']
salah satu putri terbaik yg dimiliki indonesia,salah satu putri terbaik yang dimiliki indonesia,"['salah', 'satu', 'putri', 'terbaik', 'yang', 'dimiliki', 'indonesia']","['salah', 'satu', 'putri', 'terbaik', 'dimiliki', 'indonesia']","['salah', 'satu', 'putri', 'baik', 'milik', 'indonesia']"
tiap habis main pasti senyum,tiap habis main pasti senyum,"['tiap', 'habis', 'main', 'pasti', 'senyum']","['tiap', 'habis', 'main', 'senyum']","['tiap', 'habis', 'main', 'senyum']"
mbak sri terlalu ditekan publik tapi tidak dilindungi pemerintah wkwkwk mending hidup damai aja sirumah dgn penghasilan yg sudah cukup untuk ngopi smbil cek rekening masuk ,kakak sri terlalu ditekan publik tapi tidak dilindungi pemerintah wkwkwk mending hidup damai saja sirumah dengan penghasilan yang sudah cukup untuk ngopi smbil cek rekening masuk,"['kakak', 'sri', 'terlalu', 'ditekan', 'publik', 'tapi', 'tidak', 'dilindungi', 'pemerintah', 'wkwkwk', 'mending', 'hidup', 'damai', 'saja', 'sirumah', 'dengan', 'penghasilan', 'yang', 'sudah', 'cukup', 'untuk', 'ngopi', 'smbil', 'cek', 'rekening', 'masuk']","['kakak', 'sri', 'terlalu', 'ditekan', 'publik', 'tidak', 'dilindungi', 'pemerintah', 'wkwkwk', 'mending', 'hidup', 'damai', 'sirumah', 'penghasilan', 'cukup', 'ngopi', 'smbil', 'cek', 'rekening', 'masuk']","['kakak', 'sri', 'terlalu', 'tekan', 'publik', 'tidak', 'lindung', 'perintah', 'wkwkwk', 'mending', 'hidup', 'damai', 'sirumah', 'hasil', 'cukup', 'ngopi', 'smbil', 'cek', 'rekening', 'masuk']"
kurang sreglah,kurang sreglah,"['kurang', 'sreglah']","['kurang', 'sreglah']","['kurang', 'sreg']"
selamat bertugas pa purbaya sukses ,selamat bertugas bapak purbaya sukses,"['selamat', 'bertugas', 'bapak', 'purbaya', 'sukses']","['selamat', 'bertugas', 'bapak', 'purbaya', 'sukses']","['selamat', 'tugas', 'bapak', 'purbaya', 'sukses']"
gp nanti folback,gp nanti folback,"['gp', 'nanti', 'folback']","['gp', 'folback']","['gp', 'folback']"
enginer exbanker great combo semoga keputusan yang baik,enginer exbanker great combo semoga keputusan yang baik,"['enginer', 'exbanker', 'great', 'combo', 'semoga', 'keputusan', 'yang', 'baik']","['enginer', 'exbanker', 'great', 'combo', 'semoga', 'keputusan', 'baik']","['enginer', 'exbanker', 'great', 'combo', 'moga', 'putus', 'baik']"
gw sih yakin ni orang bakal oke kerjanya,aku sih yakin ini orang akan oke kerjanya,"['aku', 'sih', 'yakin', 'ini', 'orang', 'akan', 'oke', 'kerjanya']","['aku', 'sih', 'yakin', 'orang', 'oke', 'kerjanya']","['aku', 'sih', 'yakin', 'orang', 'oke', 'kerja']"
bu sri mulyani deserve a beter place dunia mengakui indonesia tidak ,ibu sri mulyani deserve a beter place dunia mengakui indonesia tidak,"['ibu', 'sri', 'mulyani', 'deserve', 'a', 'beter', 'place', 'dunia', 'mengakui', 'indonesia', 'tidak']","['ibu', 'sri', 'mulyani', 'deserve', 'a', 'beter', 'place', 'dunia', 'mengakui', 'indonesia', 'tidak']","['ibu', 'sri', 'mulyani', 'deserve', 'a', 'beter', 'place', 'dunia', 'aku', 'indonesia', 'tidak']"
agak laen ku tengok bang,agak laen ku tengok kakak,"['agak', 'laen', 'ku', 'tengok', 'kakak']","['laen', 'ku', 'tengok', 'kakak']","['laen', 'ku', 'tengok', 'kakak']"
ya hrs lebih baik aja dan amanah,ya harus lebih baik saja dan amanah,"['ya', 'harus', 'lebih', 'baik', 'saja', 'dan', 'amanah']","['lebih', 'baik', 'amanah']","['lebih', 'baik', 'amanah']"
gatau deh ya saya sudah pasrah jd wni,tidak tahu deh ya aku sudah pasrah jd wni,"['tidak', 'tahu', 'deh', 'ya', 'aku', 'sudah', 'pasrah', 'jd', 'wni']","['tidak', 'tahu', 'deh', 'aku', 'pasrah', 'jd', 'wni']","['tidak', 'tahu', 'deh', 'aku', 'pasrah', 'jd', 'wni']"
selama periode sby dan jokowi gk pernah di reshufle baru kali ini kasian juga,selama periode surabaya dan jokowi tidak pernah di reshufle baru kali ini kasihan juga,"['selama', 'periode', 'surabaya', 'dan', 'jokowi', 'tidak', 'pernah', 'di', 'reshufle', 'baru', 'kali', 'ini', 'kasihan', 'juga']","['selama', 'periode', 'surabaya', 'jokowi', 'tidak', 'pernah', 'reshufle', 'baru', 'kali', 'kasihan']","['lama', 'periode', 'surabaya', 'jokowi', 'tidak', 'pernah', 'reshufle', 'baru', 'kali', 'kasihan']"
saham rokok sdh terbang ,saham rokok sdh terbang,"['saham', 'rokok', 'sdh', 'terbang']","['saham', 'rokok', 'sdh', 'terbang']","['saham', 'rokok', 'sdh', 'terbang']"
telat tp closingan ambles,telat tapi closingan ambles,"['telat', 'tapi', 'closingan', 'ambles']","['telat', 'closingan', 'ambles']","['telat', 'closingan', 'ambles']"
feling gue ga enak :,feling aku tidak enak :,"['feling', 'aku', 'tidak', 'enak', ':']","['feling', 'aku', 'tidak', 'enak', ':']","['feling', 'aku', 'tidak', 'enak', '']"
yah kasih kesempatan dl menkeu baru untuk merubah keadan siapa tau bisa lbh baik ye khan,yah kasih kesempatan dl menkeu baru untuk merubah keadan siapa tau bisa lebih baik ya khan,"['yah', 'kasih', 'kesempatan', 'dl', 'menkeu', 'baru', 'untuk', 'merubah', 'keadan', 'siapa', 'tau', 'bisa', 'lebih', 'baik', 'ya', 'khan']","['yah', 'kasih', 'kesempatan', 'dl', 'menkeu', 'baru', 'merubah', 'keadan', 'siapa', 'tau', 'lebih', 'baik', 'khan']","['yah', 'kasih', 'sempat', 'dl', 'menkeu', 'baru', 'rubah', 'adan', 'siapa', 'tau', 'lebih', 'baik', 'khan']"
tak pala penting kali kalian bahas ini cukup kerja atau usaha yang serius semoga kerja dan usahanya sukses besar sehinga bisa membayar pajak yang banyak untuk negara ,tidak kepala penting kali kalian bahas ini cukup kerja atau usaha yang serius semoga kerja dan usahanya sukses besar sehinga bisa membayar pajak yang banyak untuk negara,"['tidak', 'kepala', 'penting', 'kali', 'kalian', 'bahas', 'ini', 'cukup', 'kerja', 'atau', 'usaha', 'yang', 'serius', 'semoga', 'kerja', 'dan', 'usahanya', 'sukses', 'besar', 'sehinga', 'bisa', 'membayar', 'pajak', 'yang', 'banyak', 'untuk', 'negara']","['tidak', 'kepala', 'penting', 'kali', 'kalian', 'bahas', 'cukup', 'kerja', 'usaha', 'serius', 'semoga', 'kerja', 'usahanya', 'sukses', 'besar', 'sehinga', 'membayar', 'pajak', 'banyak', 'negara']","['tidak', 'kepala', 'penting', 'kali', 'kalian', 'bahas', 'cukup', 'kerja', 'usaha', 'serius', 'moga', 'kerja', 'usaha', 'sukses', 'besar', 'sehinga', 'bayar', 'pajak', 'banyak', 'negara']"
menurutku bu sri mulyani nya yang mundur sih,menurutku ibu sri mulyani nya yang mundur sih,"['menurutku', 'ibu', 'sri', 'mulyani', 'nya', 'yang', 'mundur', 'sih']","['menurutku', 'ibu', 'sri', 'mulyani', 'nya', 'mundur', 'sih']","['turut', 'ibu', 'sri', 'mulyani', 'nya', 'mundur', 'sih']"
sudah waktunya menurutku indonesia harusnya punya byk ahli ekonomi yg tdk pro barat,sudah waktunya menurutku indonesia harusnya punya banyak ahli ekonomi yang tidak pro barat,"['sudah', 'waktunya', 'menurutku', 'indonesia', 'harusnya', 'punya', 'banyak', 'ahli', 'ekonomi', 'yang', 'tidak', 'pro', 'barat']","['waktunya', 'menurutku', 'indonesia', 'harusnya', 'punya', 'banyak', 'ahli', 'ekonomi', 'tidak', 'pro', 'barat']","['waktu', 'turut', 'indonesia', 'harus', 'punya', 'banyak', 'ahli', 'ekonomi', 'tidak', 'pro', 'barat']"
dari sekian banyak ekonom di negara ini kenapa mesti dia,dari sekian banyak ekonom di negara ini kenapa mesti dia,"['dari', 'sekian', 'banyak', 'ekonom', 'di', 'negara', 'ini', 'kenapa', 'mesti', 'dia']","['sekian', 'banyak', 'ekonom', 'negara', 'mesti']","['sekian', 'banyak', 'ekonom', 'negara', 'mesti']"
gue udah rekomenin ke temen,aku sudah rekomenin ke teman,"['aku', 'sudah', 'rekomenin', 'ke', 'teman']","['aku', 'rekomenin', 'teman']","['aku', 'rekomenin', 'teman']"
tidak setuju,tidak setuju,"['tidak', 'setuju']","['tidak', 'setuju']","['tidak', 'tuju']"
biasa nya dari dulu menteri keuangan diambil dari orang bank bi atau akademisi ekonomi ini kok dari dari lembaga simpan pinjam dak jelas s,biasa nya dari dulu menteri keuangan diambil dari orang bank bi atau akademisi ekonomi ini kok dari dari lembaga simpan pinjam dak jelas s,"['biasa', 'nya', 'dari', 'dulu', 'menteri', 'keuangan', 'diambil', 'dari', 'orang', 'bank', 'bi', 'atau', 'akademisi', 'ekonomi', 'ini', 'kok', 'dari', 'dari', 'lembaga', 'simpan', 'pinjam', 'dak', 'jelas', 's']","['biasa', 'nya', 'dulu', 'menteri', 'keuangan', 'diambil', 'orang', 'bank', 'bi', 'akademisi', 'ekonomi', 'kok', 'lembaga', 'simpan', 'pinjam', 'dak', 'jelas', 's']","['biasa', 'nya', 'dulu', 'menteri', 'uang', 'ambil', 'orang', 'bank', 'bi', 'akademisi', 'ekonomi', 'kok', 'lembaga', 'simpan', 'pinjam', 'dak', 'jelas', 's']"
batuka cigak jo baruak,batuka cigak jo baruak,"['batuka', 'cigak', 'jo', 'baruak']","['batuka', 'cigak', 'jo', 'baruak']","['batuka', 'cigak', 'jo', 'baruak']"
ya apapun itu hak preogatif tetap ditangan presiden kalo sebagai bawahan sudah melaksanakan tugas tapi atasan ga bisa lindungi ya pastilah kecewa patut kita tungu apakah omongan besar mekeu baru sesuai dengan kinerjanya,ya apapun itu hak preogatif tetap ditangan presiden kalau sebagai bawahan sudah melaksanakan tugas tapi atasan tidak bisa lindungi ya pastilah kecewa patut kita tungu apakah omongan besar mekeu baru sesuai dengan kinerjanya,"['ya', 'apapun', 'itu', 'hak', 'preogatif', 'tetap', 'ditangan', 'presiden', 'kalau', 'sebagai', 'bawahan', 'sudah', 'melaksanakan', 'tugas', 'tapi', 'atasan', 'tidak', 'bisa', 'lindungi', 'ya', 'pastilah', 'kecewa', 'patut', 'kita', 'tungu', 'apakah', 'omongan', 'besar', 'mekeu', 'baru', 'sesuai', 'dengan', 'kinerjanya']","['apapun', 'hak', 'preogatif', 'tetap', 'ditangan', 'presiden', 'kalau', 'bawahan', 'melaksanakan', 'tugas', 'atasan', 'tidak', 'lindungi', 'pastilah', 'kecewa', 'patut', 'tungu', 'omongan', 'besar', 'mekeu', 'baru', 'sesuai', 'kinerjanya']","['apa', 'hak', 'preogatif', 'tetap', 'tang', 'presiden', 'kalau', 'bawah', 'laksana', 'tugas', 'atas', 'tidak', 'lindung', 'pasti', 'kecewa', 'patut', 'tungu', 'omong', 'besar', 'mekeu', 'baru', 'sesuai', 'kerja']"
